Kingdom	Phylum	Class	Order	Family	Genus	Species
seq217	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] ventriosum group	rumen bacterium 2/9293-18
seq218	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. 14(A)
seq219	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	metagenome
seq220	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Parabacteroides sp. YL27
seq221	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	human gut metagenome
seq222	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Blattella germanica (German cockroach)
seq223	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens
seq224	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	metagenome
seq225	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	human gut metagenome
seq226	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] xylanophilum group	Lachnospiraceae bacterium DW60
seq227	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	mouse gut metagenome	
seq228	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Hydrogenoanaerobacterium	bacterium enrichment culture clone MS20
seq229	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Parabacteroides sp. YL27
seq230	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Murimonas	Murimonas intestini
seq231	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
seq232	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	bacterium NLAE-zl-H60
seq233	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] clostridioforme 90B1
seq234	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	mouse gut metagenome	
seq235	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	Anaerofustis stercorihominis DSM 17244
seq236	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	wallaby gut metagenome
seq237	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	UC5-1-2E3	Clostridia bacterium UC5.1-2E3
seq238	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	iron-reducing bacterium enrichment culture clone HN117
seq239	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Clostridium] methylpentosum DSM 5476
seq240	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Harryflintia	Provencibacterium massiliense
seq242	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Gram-negative bacterium cTPY-13	
seq243	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	gut metagenome	
seq244	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	human gut metagenome
seq245	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Clostridiales bacterium VE202-06
seq246	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	gut metagenome
seq247	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Lachnospiraceae bacterium 28-4
seq248	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	SRB2	Firmicutes bacterium CE17	
seq249	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	mouse gut metagenome	
seq250	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	gut metagenome	
seq251	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	metagenome
seq252	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Blattella germanica (German cockroach)
seq253	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium 5	[Clostridium] indolis DSM 755
seq254	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia sp. UNK.MGS-1
seq255	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	mouse gut metagenome
seq256	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	Lachnospiraceae bacterium AJ110941
seq257	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	Clostridium sp. enrichment culture
seq258	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	anaerobic digester metagenome	
seq259	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39	Firmicutes bacterium CAG:822		
seq260	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	mouse gut metagenome
seq261	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. D13
seq262	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	Lachnospiraceae bacterium 10-1
seq263	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
seq264	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	metagenome
seq265	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	gut metagenome
seq266	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	gut metagenome
seq267	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	metagenome
seq268	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas sp. 2024b
seq269	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	mouse gut metagenome	
seq270	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	gut metagenome	
seq271	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	human gut metagenome
seq272	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
seq273	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Parasutterella	Proteobacteria bacterium CAG:139
seq274	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sciuri
seq275	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	ASF356	Clostridium sp. ASF356
seq276	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	Coptotermes formosanus (Formosan subterranean termite)	
seq277	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	metagenome
seq278	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetatifactor	Salmonella enterica subsp. enterica
seq279	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Lachnospiraceae bacterium 6_1_63FAA
seq281	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	mouse gut metagenome
seq282	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetatifactor	Salmonella enterica subsp. enterica
seq283	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnospiraceae bacterium 1_4_56FAA
seq287	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	Trichinella pseudospiralis
seq304	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium asparagiforme] DSM 15981
seq316	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	Lachnospiraceae bacterium DW17
seq320	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia sp. UNK.MGS-1
seq326	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia sp. UNK.MGS-1
